year,month_number,produccion,importaciones,exportaciones_totales,consumo_nacional_aparente,inventario_inicial,inventario_final,oferta_total,demanda_total,net_exports,supply_demand_ratio,demand_pressure,excess_supply,inventory_to_consumption,inventory_months,production_share
2009,11,102707.0,122207,24392,330822,294067,163767,518982,355214,-97815.0,1.4610403869216866,0.6844450952925059,163767.0,0.4950305602408546,5.940366722890255,0.19790089058965435
2009,12,525703.0,121165,28407,423668,163767,358535,810610,452075,-92758.0,1.7930874301830448,0.55768009029958,358560.0,0.8462640558172909,10.155168669807491,0.6485276520151491
2010,1,855916.0,12938,36310,365321,358535,825819,1227450,401631,23372.0,3.0561634933558417,0.3272238874554033,825758.0,2.2605297806586537,27.126357367903843,0.6973123141472157
2010,2,730154.0,2573,48896,340168,825819,1170312,1559376,389064,46323.0,4.008019246190858,0.2496326704505353,1169482.0,3.4403941581806636,41.28472989816797,0.46823472978935166
2010,3,1130472.0,37598,41423,366780,1170312,1930179,2338382,408203,3825.0,5.728478232644052,0.17456643097663255,1930179.0,5.262497955177491,63.14997546212989,0.48344196970383796
2010,4,939761.0,88115,42673,445680,1930179,2469701,2958055,488353,-45442.0,6.057206569837802,0.1650926030787122,2469702.0,5.541422096571531,66.49706515885838,0.31769558037291395
2010,5,465987.0,82915,32330,402884,2469701,2582835,3018049,435214,-50585.0,6.934632157972859,0.1441772899583019,2583389.0,6.410865162180677,76.93038194616814,0.15440007766606836
2010,6,74061.0,6033,44698,386376,2582835,2231855,2662930,431074,38665.0,6.177431253102715,0.16187964455680193,2231855.0,5.7763810381597205,69.31657245791664,0.027811846349697515
2010,7,778.0,351,79034,402230,2231855,1751720,2232984,481264,78683.0,4.639831776322351,0.21552505526237536,1751720.0,4.355020759267086,52.260249111205034,0.0003484127069428173
2010,8,0.0,942,214643,242413,1751720,1295607,1752662,457055,213701.0,3.8346851035433374,0.26077817628270594,1295606.0,5.344626732064699,64.1355207847764,0.0
2010,9,0.0,495,113275,263953,1295607,918099,1295327,377228,112780.0,3.433803959409164,0.29104808109238317,918874.0,3.478266964194383,41.7392035703326,0.0
